Alpha:,1,Beta:,10,m:,0.6
SubCat,13,14,15,11,17,24,23,22,19,20,21,18,16,12,10,28,55,26,25,27,9,8,36,6,35,34,30,32,31,29,33,7,5,40,41,38,39,37,4,2,46,51,52,53,45,50,49,42,47,43,54,44,48,3,1,
Frac Urbanized,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Area,1.485,0.372,0.731,0.443,0.404,0.334,0.967,0.866,1.198,2.343,0.775,2.459,0.167,1.262,0.672,0.452,0.728,0.288,1.284,0.746,0.246,0.58,0.325,0.371,0.77,1.689,0.534,0.891,1.389,0.204,0.391,0.701,1.132,0.155,0.428,0.43,0.017,2.11,0.359,1.021,0.11,0.407,0.121,1.133,0.266,0.686,0.544,2.243,0.25,0.588,1.082,0.773,0.701,0.152,0.108,
Time (hours),Q_13,Q_14,Q_15,Q_11,Q_17,Q_24,Q_23,Q_22,Q_19,Q_20,Q_21,Q_18,Q_16,Q_12,Q_10,Q_28,Q_55,Q_26,Q_25,Q_27,Q_9,Q_8,Q_36,Q_6,Q_35,Q_34,Q_30,Q_32,Q_31,Q_29,Q_33,Q_7,Q_5,Q_40,Q_41,Q_38,Q_39,Q_37,Q_4,Q_2,Q_46,Q_51,Q_52,Q_53,Q_45,Q_50,Q_49,Q_42,Q_47,Q_43,Q_54,Q_44,Q_48,Q_3,Q_1,
0.5,13.445,1.2359,0.1763,4.2319,1.2489,7.781,22.2871,18.3507,16.8914,43.4395,32.5589,11.8715,5.0716,0.408,0.0045,10.3815,10.9721,6.6365,8.6311,3.1619,4.6531,0,7.7983,5.4754,12.697,2.5723,11.1955,14.4544,2.8873,3.4146,6.5799,1.7555,0,0.4649,2.7532,4.243,0.2842,16.852,2.017,0.2001,2.1614,2.5727,2.2773,10.9971,10.6502,0,1.5595,16.7879,1.8555,7.2897,16.7208,5.9308,3.784,0,0.9885,
0.58,15.0915,2.7554,0.432,12.9921,2.7429,5.1252,16.5494,22.5196,19.2423,37.4181,47.6708,34.1377,17.0357,1.1558,0.7623,8.4503,16.0828,4.5449,13.0178,9.7196,11.8187,0,5.8167,8.5019,12.8319,9.5426,9.6254,14.0341,9.2435,5.7759,13.2157,2.3128,0,0.7481,3.736,5.1907,0.2248,23.9613,9.3324,0,1.77,3.9888,1.9769,12.6286,14.364,0,2.6974,19.273,4.9991,7.6753,16.3833,13.0684,8.8803,0.1772,1.2187,
0.67,14.8454,3.875,0.7677,19.8031,4.2405,3.6401,11.8623,23.7497,17.1682,30.2737,53.3883,55.5065,37.5055,2.7546,3.2028,6.2808,17.7334,3.1562,14.3863,16.3749,21.0436,1.6287,4.1091,9.3654,10.8561,16.6955,7.5474,11.9728,15.6063,11.2955,18.4036,4.0538,0.1274,0.9415,4.0849,5.1465,0.1804,26.145,17.4984,0,1.381,4.6595,1.5901,12.4095,14.9285,1.0186,3.366,19.3608,8.4998,7.0592,14.2113,17.5892,14.8091,2.8356,1.5183,
0.75,13.8453,4.2606,1.0869,22.8412,4.7498,2.6536,8.5283,23.3006,14.2106,24.0243,52.3817,69.7516,56.9863,6.3514,6.9045,4.6242,16.6482,2.2752,13.9107,20.4445,28.8994,9.1766,2.912,8.8572,8.7374,21.9857,5.7796,9.8543,19.3229,16.6369,22.0944,7.1307,0.4843,1.043,4.0317,4.6819,0.1474,25.6394,23.5974,0,1.0799,4.7739,1.2618,11.3912,14.0507,2.6566,3.8103,18.3425,11.433,6.1675,11.8515,18.9728,19.7056,8.9242,3.2409,
0.83,12.588,4.1136,1.3315,23.0998,4.546,1.9955,6.2308,21.959,11.5104,19.0136,47.8972,76.4016,69.7588,11.8991,11.1959,3.4515,14.5271,1.7001,12.6655,21.7194,33.3619,19.472,2.1031,7.8264,6.9985,24.7346,4.4289,8.0732,20.3447,19.6471,24.6411,11.2072,1.2998,1.0735,3.7766,4.1099,0.1223,23.8756,27.0359,0.6637,0.857,4.5743,1.0077,10.1381,12.6906,4.249,4.2683,16.8963,13.4031,5.2885,9.7946,18.3961,22.8055,17.608,7.9605,
0.92,11.2968,3.7402,1.509,21.9609,4.0695,1.5436,4.645,20.2042,9.5485,15.115,42.1631,77.442,75.5108,18.6021,15.7498,2.7144,12.2703,1.3099,11.2244,21.2101,34.5282,30.0594,1.5531,6.6959,5.8266,24.9919,3.4281,6.6557,19.7541,20.4247,25.7171,15.7613,3.4081,1.0569,3.4429,3.5601,0.1028,21.6264,28.2691,1.7474,0.6917,4.2305,0.8149,8.904,11.2601,5.6468,4.7613,15.3531,14.4261,4.5144,8.1184,16.9236,24.2656,26.5518,15.9202,
1,10.0709,3.3027,1.6328,20.2498,3.5365,1.2234,3.5349,18.3143,8.0375,12.1066,36.4446,75.1419,76.175,25.4963,20.4944,2.2018,10.2476,1.0355,9.8389,19.7899,33.4353,39.2583,1.1719,5.6444,4.8727,23.6815,2.6889,5.5414,18.3995,19.7936,25.4125,20.1582,7.8689,1.0124,3.096,3.075,0.0874,19.2923,27.9573,3.0448,0.5673,3.8403,0.6682,7.7863,9.9242,6.7903,5.3099,13.8654,14.7045,3.8612,6.7802,15.1781,24.4604,33.7489,25.2359,
1.08,8.9502,2.8762,1.7148,18.3929,3.0361,0.9898,2.7434,16.4443,6.8044,9.7819,31.2243,71.2117,73.842,31.8656,25.34,1.8103,8.5365,0.8363,8.5994,17.9995,31.1039,46.4607,0.9018,4.7315,4.1078,21.6754,2.1653,4.6628,16.7793,18.4686,24.1512,23.9402,13.7097,0.9534,2.7669,2.6615,0.0751,17.069,26.6874,4.6719,0.4721,3.4538,0.5553,6.8108,8.7374,7.6718,5.8954,12.4962,14.4718,3.3188,5.7147,13.4595,23.7865,38.4474,33.8607,
1.17,7.9465,2.491,1.7648,16.5924,2.6126,0.815,2.1676,14.676,5.8045,8.0799,26.6652,66.7084,70.0462,37.3191,30.151,1.5082,7.1248,0.6877,7.525,16.1414,28.2494,51.8322,0.7063,3.9646,3.4943,19.4589,1.8177,3.9641,15.1475,16.8927,22.4073,26.8899,20.5454,0.8885,2.4679,2.3136,0.065,15.0417,24.8979,6.6966,0.3979,3.0941,0.4673,5.9737,7.7066,8.3112,6.4848,11.2652,13.9241,2.8702,4.8622,11.8901,22.5769,40.9056,40.777,
1.25,7.0575,2.1555,1.7905,14.9335,2.2993,0.6812,1.7407,13.0482,4.9915,6.9094,22.8382,62.0606,65.681,41.7249,34.7732,1.2717,5.973,0.5742,6.6065,14.3697,25.3025,55.8115,0.5619,3.3303,2.9991,17.2832,1.542,3.4025,13.6189,15.3004,20.4887,28.9725,27.9185,0.8228,2.2025,2.022,0.0568,13.2371,22.8851,9.2055,0.3391,2.7697,0.3976,5.2601,6.82,8.7406,7.045,10.1716,13.2037,2.4986,4.1744,10.5059,21.0794,41.6666,45.9864,
