Time (h),72,9
82.25,0.938,0.151
82.5,0.938,0.151
82.75,0.938,0.151
83,0.938,0.151
83.25,0.92,0.154
83.5,0.92,0.154
83.75,0.92,0.154
84,0.92,0.154
84.25,0.902,0.156
84.5,0.902,0.156
84.75,0.902,0.156
85,0.902,0.156
85.25,0.908,0.154
85.5,0.908,0.154
85.75,0.908,0.154
86,0.908,0.154
86.25,0.92,0.156
86.5,0.92,0.156
86.75,0.92,0.156
87,0.92,0.156
87.25,0.944,0.156
87.5,0.944,0.156
87.75,0.944,0.156
88,0.944,0.156
88.25,0.962,0.154
88.5,0.962,0.154
88.75,0.962,0.154
89,0.962,0.154
89.25,0.968,0.156
89.5,0.968,0.156
89.75,0.968,0.156
90,0.968,0.156
90.25,0.968,0.16
90.5,0.968,0.16
90.75,0.968,0.16
91,0.968,0.16
91.25,0.95,0.202
91.5,0.95,0.202
91.75,0.95,0.219
92,0.95,0.273
92.25,0.932,0.273
92.5,0.932,0.273
92.75,0.932,0.273
93,0.932,0.273
93.25,0.914,0.242
93.5,0.914,0.242
93.75,0.914,0.242
94,0.914,0.242
94.25,0.885,0.219
94.5,0.885,0.219
94.75,0.885,0.219
95,0.885,0.219
95.25,0.862,0.198
95.5,0.862,0.198
95.75,0.862,0.198
96,0.862,0.198
96.25,0.839,0.184
96.5,0.839,0.184
96.75,0.839,0.184
97,0.839,0.184
97.25,0.817,0.178
97.5,0.817,0.178
97.75,0.817,0.178
98,0.817,0.178
98.25,0.801,0.171
98.5,0.801,0.171
98.75,0.801,0.171
99,0.801,0.171
99.25,0.784,0.169
99.5,0.784,0.169
99.75,0.784,0.169
100,0.784,0.169
100.25,0.79,0.165
100.5,0.79,0.165
100.75,0.79,0.165
101,0.79,0.165
101.25,0.811,0.169
101.5,0.811,0.169
101.75,0.811,0.169
102,0.811,0.169
102.25,0.839,0.161
102.5,0.839,0.161
102.75,0.839,0.161
103,0.839,0.161
103.25,0.873,0.165
103.5,0.873,0.165
103.75,0.873,0.165
104,0.873,0.165
104.25,0.885,0.165
104.5,0.885,0.165
104.75,0.885,0.165
105,0.885,0.165
105.25,0.885,0.16
105.5,0.885,0.16
105.75,0.885,0.16
106,0.885,0.16
106.25,0.873,0.161
